bibnum|title|author|year|periodical|parent_title|citation|keyword|project|link
182|Characterization of neuropathy target esterase using trifluoromethyl ketones|Thomas, T. C.; Székács, A.; Rojas, S.; Hammock, B. D.; Wilson, B. W.; McNamee, M. G.|1990|Biochem. Pharmacol. (Biochemical pharmacology)||Thomas, Székács. (1990). Biochem. Pharmacol. 40:2587–2596|Animals; Brain/enzymology; Carboxylic Ester Hydrolases/antagonists & inhibitors/isolation & purification; Chick Embryo; Chromatography, Gel; Detergents; Enzyme Inhibitors; Ketones/pharmacology; Kinetics; Paraoxon/pharmacology; Solubility; Structure-Activity Relationship|Esterase and Amidase|http://ucanr.org/sites/hammocklab/files/125850.pdf
182|Characterization of neuropathy target esterase using trifluoromethyl ketones|Thomas, T. C.; Székács, A.; Rojas, S.; Hammock, B. D.; Wilson, B. W.; McNamee, M. G.|1990|Biochem. Pharmacol. (Biochemical pharmacology)||Thomas, Székács. (1990). Biochem. Pharmacol. 40:2587–2596|Animals; Brain/enzymology; Carboxylic Ester Hydrolases/antagonists & inhibitors/isolation & purification; Chick Embryo; Chromatography, Gel; Detergents; Enzyme Inhibitors; Ketones/pharmacology; Kinetics; Paraoxon/pharmacology; Solubility; Structure-Activity Relationship|Insect Biology|http://ucanr.org/sites/hammocklab/files/125850.pdf
183|Hapten synthesis for pesticide immunoassay development|Harrison, R.O., M.H. Goodrow, S.J. Gee and B.D. Hammock|1991||Immunoassays for Trace Chemical Analysis: Monitoring Toxic Chemicals in Humans, Food, and the Environment|Harrison, R.O., M.H. Goodrow, S.J. Gee and B.D. Hammock. (1991). In: Immunoassays for Trace Chemical Analysis: Monitoring Toxic Chemicals in Humans, Food, and the Environment (American Chemical Society, Washington, DC): 14–27||Immunoassay|http://ucanr.org/sites/hammocklab/files/126296.pdf
184|Monoclonal immunoassay of triazine herbicides: Development and implementation|Karu, A. E.; R.O. Harrison; D.J. Schmidt; C.E. Clarkson; J. Grassman; M.H. Goodrow; A. Lucas; B.D. Hammock; J.M. Van Emon; R.J. White|1991||Immunoassays for Trace Chemical Analysis: Monitoring Toxic Chemicals in Humans, Food, and the Environment|Karu & R.O. Harrison. (1991). In: Immunoassays for Trace Chemical Analysis: Monitoring Toxic Chemicals in Humans, Food, and the Environment (American Chemical Society, Washington, DC): 59–77||Immunoassay|http://ucanr.org/sites/hammocklab/files/126297.pdf
185|Development of immunoassays for thiocarbamate herbicides|Gee, S. J.; R.O. Harrison; M.H. Goodrow; A.L. Braun; B.D. Hammock|1991||Immunoassays for Trace Chemical Analysis: Monitoring Toxic Chemicals in Humans, Food, and the Environment|Gee & R.O. Harrison. (1991). In: Immunoassays for Trace Chemical Analysis: Monitoring Toxic Chemicals in Humans, Food, and the Environment (American Chemical Society, Washington, DC): 100–107||Immunoassay|http://ucanr.org/sites/hammocklab/files/126298.pdf
186|Immunochemical approach to the detection of aminotriazoles using selective amino group protection by chromophores|Jung, F.; A. Székács, Q. Li; B.D. Hammock|1991|J. Agric. Food Chem. (Journal of agricultural and food chemistry)||Jung, A. Székács, Q. Li, B.D. Hammock. (1991). J. Agric. Food Chem. 39:129–136||Immunoassay|http://ucanr.org/sites/hammocklab/files/126299.pdf
187|Competitive inhibition ELISA for the s-triazine herbicides: Assay optimization and antibody characterization|Harrison, R. O.; M.H. Goodrow; B.D. Hammock|1991|J. Agric. Food Chem. (Journal of agricultural and food chemistry)||Harrison, M.H. Goodrow, B.D. Hammock. (1991). J. Agric. Food Chem. 39:122–128||Immunoassay|http://ucanr.org/sites/hammocklab/files/126300.pdf
188|Xenobiotic metabolizing enzyme activities in rat, mouse, monkey, and human testes|DiBiasio, K. W.; Silva, M. H.; Shull, L. R.; Overstreet, J. W.; Hammock, B. D.; Miller, M. G.|1991|Drug Metab. Dispos. (Drug metabolism and disposition: the biological fate of chemicals)||DiBiasio, Silva. (1991). Drug Metab. Dispos. 19:227–232|Adult; Animals; Cytochrome P-450 CYP1A1; Cytochrome P-450 CYP2B1; Cytochrome P-450 Enzyme System/metabolism; Cytosol/enzymology/metabolism; Epoxide Hydrolases/metabolism; Glutathione Transferase/metabolism; Humans; Macaca mulatta; Male; Mice; Mice, Inbred Strains; Microsomes, Liver/enzymology; Oxidoreductases/metabolism; Rats; Rats, Inbred F344; Species Specificity; Subcellular Fractions/metabolism; Testis/enzymology; Xenobiotics/metabolism|Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125131.pdf
188|Xenobiotic metabolizing enzyme activities in rat, mouse, monkey, and human testes|DiBiasio, K. W.; Silva, M. H.; Shull, L. R.; Overstreet, J. W.; Hammock, B. D.; Miller, M. G.|1991|Drug Metab. Dispos. (Drug metabolism and disposition: the biological fate of chemicals)||DiBiasio, Silva. (1991). Drug Metab. Dispos. 19:227–232|Adult; Animals; Cytochrome P-450 CYP1A1; Cytochrome P-450 CYP2B1; Cytochrome P-450 Enzyme System/metabolism; Cytosol/enzymology/metabolism; Epoxide Hydrolases/metabolism; Glutathione Transferase/metabolism; Humans; Macaca mulatta; Male; Mice; Mice, Inbred Strains; Microsomes, Liver/enzymology; Oxidoreductases/metabolism; Rats; Rats, Inbred F344; Species Specificity; Subcellular Fractions/metabolism; Testis/enzymology; Xenobiotics/metabolism|Esterase and Amidase|http://ucanr.org/sites/hammocklab/files/125131.pdf
189|Use of dimethyldioxirane in the preparation of epoxy derivatives related to insect juvenile hormones|Messeguer, A.; F. Sanchez-Baeza; J. Casas; B.D. Hammock|1991|Tetrahedron Lett. (Tetrahedron letters)||Messeguer, F. Sanchez-Baeza. (1991). Tetrahedron Lett. 47:1291–1302||Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125132.pdf
189|Use of dimethyldioxirane in the preparation of epoxy derivatives related to insect juvenile hormones|Messeguer, A.; F. Sanchez-Baeza; J. Casas; B.D. Hammock|1991|Tetrahedron Lett. (Tetrahedron letters)||Messeguer, F. Sanchez-Baeza. (1991). Tetrahedron Lett. 47:1291–1302||Insect Biology|http://ucanr.org/sites/hammocklab/files/125132.pdf
190|"In vitro metabolism of juvenile hormone III and juvenile hormone III bisepoxide by Drosophila melanogaster and mammalian cytosolic epoxide hydrolase
"|Casas, J.; Harshman, L. G.; Messeguer, A.; Kuwano, E.; Hammock, B. D.|1991|Arch. Biochem. Biophys. (Archives of biochemistry and biophysics)||Casas, Harshman. (1991). Arch. Biochem. Biophys. 286:153–158|Animals; Cell Fractionation; Cytosol/enzymology; Drosophila melanogaster/enzymology; Epoxide Hydrolases/isolation & purification/metabolism; Fatty Acids, Monounsaturated; Juvenile Hormones/metabolism; Kinetics; Liver/enzymology; Mice; Sesquiterpenes/metabolism; Substrate Specificity|Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125133.pdf
190|"In vitro metabolism of juvenile hormone III and juvenile hormone III bisepoxide by Drosophila melanogaster and mammalian cytosolic epoxide hydrolase
"|Casas, J.; Harshman, L. G.; Messeguer, A.; Kuwano, E.; Hammock, B. D.|1991|Arch. Biochem. Biophys. (Archives of biochemistry and biophysics)||Casas, Harshman. (1991). Arch. Biochem. Biophys. 286:153–158|Animals; Cell Fractionation; Cytosol/enzymology; Drosophila melanogaster/enzymology; Epoxide Hydrolases/isolation & purification/metabolism; Fatty Acids, Monounsaturated; Juvenile Hormones/metabolism; Kinetics; Liver/enzymology; Mice; Sesquiterpenes/metabolism; Substrate Specificity|Insect Biology|http://ucanr.org/sites/hammocklab/files/125133.pdf
191|"Epoxide hydrolase activity on juvenile hormone in Manduca sexta
"|Casas, J.; L.G. Harshman; B.D. Hammock|1991|Insect Biochem. (Insect biochemistry)||Casas, L.G. Harshman, B.D. Hammock. (1991). Insect Biochem. 21:17–26||Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125134.pdf
191|"Epoxide hydrolase activity on juvenile hormone in Manduca sexta
"|Casas, J.; L.G. Harshman; B.D. Hammock|1991|Insect Biochem. (Insect biochemistry)||Casas, L.G. Harshman, B.D. Hammock. (1991). Insect Biochem. 21:17–26||Insect Biology|http://ucanr.org/sites/hammocklab/files/125134.pdf
192|Effects of environmentally encountered epoxides on mouse liver epoxide-metabolizing enzymes|Moody, D. E.; Montgomery, K. A.; Ashour, M. B.; Hammock, B. D.|1991|Biochem. Pharmacol. (Biochemical pharmacology)||Moody, Montgomery. (1991). Biochem. Pharmacol. 41:1625–1637|Animals; Carboxylic Ester Hydrolases/metabolism; Environmental Exposure; Enzyme Activation/drug effects; Epoxide Hydrolases/metabolism; Epoxy Compounds/pharmacology; Glutathione Transferase/metabolism; Liver/drug effects/enzymology; Male; Mice; Microsomes, Liver/enzymology|Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125135.pdf
193|Applying biotechnology to entomology|Hammock, B. D.; S. Maeda|1991||Progress and Perspectives for the 21st Century|Hammock & S. Maeda. (1991). In: Progress and Perspectives for the 21st Century (Smithsonian Institution, Washington, DC): 77–82||Insect Biology|http://ucanr.org/sites/hammocklab/files/130879.pdf
194|"Evolved environment-dependent expression of detoxication enzyme activity in Drosophila melanogaster
"|Harshman, L.G., J.A. Ottea and B.D. Hammock|1991|Evolution (Evolution)||Harshman, L.G., J.A. Ottea and B.D. Hammock. (1991). Evolution 45:791–795||Insect Biology|http://ucanr.org/sites/hammocklab/files/130880.pdf
195|"Glutathione S-transferase isozymes in Aedes aegypti: Purification, characterization, and isozyme-specific regulation
"|Grant, D. F.; E.C. Dietze; B.D. Hammock|1991|Insect Biochem. (Insect biochemistry)||Grant, E.C. Dietze, B.D. Hammock. (1991). Insect Biochem. 21:421–433||Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125136.pdf
195|"Glutathione S-transferase isozymes in Aedes aegypti: Purification, characterization, and isozyme-specific regulation
"|Grant, D. F.; E.C. Dietze; B.D. Hammock|1991|Insect Biochem. (Insect biochemistry)||Grant, E.C. Dietze, B.D. Hammock. (1991). Insect Biochem. 21:421–433||Insect Biology|http://ucanr.org/sites/hammocklab/files/125136.pdf
196|Development of an enzyme-linked immunosorbent assay for the herbicide Bentazon|Li, Q. X.; B.D. Hammock; J.N. Seiber|1991|J. Agric. Food Chem. (Journal of agricultural and food chemistry)||Li, B.D. Hammock, J.N. Seiber. (1991). J. Agric. Food Chem. 39:1537–1544||Immunoassay|http://ucanr.org/sites/hammocklab/files/126301.pdf
197|Development of a recombinant baculovirus expressing an insect-selective neurotoxin: potential for pest control|McCutchen, B. F.; Choudary, P. V.; Crenshaw, R.; Maddox, D.; Kamita, S. G.; Palekar, N.; Volrath, S.; Fowler, E.; Hammock, B. D.; Maeda, S.|1991|Biotechnology (N.Y.) (Bio/technology)||McCutchen, Choudary. (1991). Biotechnology (N.Y.) 9:848–852|Animals; Baculoviridae/genetics; Base Sequence; Cell Line; Immunoblotting; Larva/drug effects; Lepidoptera/drug effects; Molecular Sequence Data; Neurotoxins; Oligonucleotide Probes; Pest Control/methods; Recombinant Proteins/isolation & purification/pharmacology; Recombination, Genetic; Restriction Mapping; Scorpion Venoms/genetics/isolation & purification/pharmacology; Transfection|Insect Biology|http://ucanr.org/sites/hammocklab/files/130882.pdf
198|Inhibition of cytosolic epoxide hydrolase by trans-3-phenylglycidols|Dietze, E. C.; Kuwano, E.; Casas, J.; Hammock, B. D.|1991|Biochem. Pharmacol. (Biochemical pharmacology)||Dietze, Kuwano. (1991). Biochem. Pharmacol. 42:1163–1175|Animals; Binding Sites; Chalcone/analogs & derivatives/chemistry; Chalcones; Chromatography, High Pressure Liquid; Cytosol/enzymology; Epoxide Hydrolases/antagonists & inhibitors/isolation & purification; Epoxy Compounds/chemical synthesis/pharmacology; Gas Chromatography-Mass Spectrometry; Magnetic Resonance Spectroscopy; Mice; Microsomes, Liver/enzymology; Models, Molecular; Propanols; Stereoisomerism|Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125137.pdf
199|Development of enzyme-linked immunosorbent assays for 4-nitrophenol and substituted 4-nitrophenols|Li, Q.-X.; M.-S. Zhao; S.J. Gee; M. Kurth; J.N. Seiber; B.D. Hammock|1991|J. Agric. Food Chem. (Journal of agricultural and food chemistry)||Li, M.-S. Zhao. (1991). J. Agric. Food Chem. 39:1685–1692||Immunoassay|http://ucanr.org/sites/hammocklab/files/126302.pdf
200|Insecticidal effects of an insect-specific neurotoxin expressed by a recombinant baculovirus|Maeda, S.; Volrath, S. L.; Hanzlik, T. N.; Harper, S. A.; Majima, K.; Maddox, D. W.; Hammock, B. D.; Fowler, E.|1991|Virology (Virology)||Maeda, Volrath. (1991). Virology 184:777–780|Amino Acid Sequence; Animals; Baculoviridae; Base Sequence; Blotting, Western; Bombyx; Cloning, Molecular; Insecticides; Larva/drug effects; Molecular Sequence Data; Neurotoxins/immunology/toxicity; Recombinant Proteins/immunology; Scorpion Venoms/genetics/immunology|Insect Biology|http://ucanr.org/sites/hammocklab/files/130885.pdf
201|Method for the analysis of 4-nitrophenol and parathion in soil using supercritical fluid extraction and immunoassay|Wong, J. M.; Q.X. Li; B.D. Hammock; J.N. Seiber|1991|J. Agric. Food Chem. (Journal of agricultural and food chemistry)||Wong, Q.X. Li. (1991). J. Agric. Food Chem. 39:1802–1807||Immunoassay|http://ucanr.org/sites/hammocklab/files/126303.pdf
202|"Pharmacokinetic studies of the recombinant juvenile hormone esterase in Manduca sexta
"|Ichinose, R.; S.G. Kamita; S. Maeda; B.D. Hammock|1992|Pestoc Biochem Physiol (Pesticide biochemistry and physiology)||Ichinose, S.G. Kamita. (1992). Pestoc Biochem Physiol 42:13–23||Insect Biology|http://ucanr.org/sites/hammocklab/files/130886.pdf
203|"Epoxide hydrolase activities in Drosophila melanogaster
"|Harshman, L. G.; J. Casas; E.C. Dietze; B.D. Hammock|1992|Insect Biochem. (Insect biochemistry)||Harshman, J. Casas. (1992). Insect Biochem. 21:887–894||Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125139.pdf
203|"Epoxide hydrolase activities in Drosophila melanogaster
"|Harshman, L. G.; J. Casas; E.C. Dietze; B.D. Hammock|1992|Insect Biochem. (Insect biochemistry)||Harshman, J. Casas. (1992). Insect Biochem. 21:887–894||Insect Biology|http://ucanr.org/sites/hammocklab/files/125139.pdf
204|Chemical contamination and the annual summer die-off of striped bass (Morone saxatilis) in the Sacramento-San Joaquin Delta|Cashman, J. R.; Maltby, D. A.; Nishioka, R. S.; Bern, H. A.; Gee, S. J.; Hammock, B. D.|1992|Chem. Res. Toxicol. (Chemical research in toxicology)||Cashman, Maltby. (1992). Chem. Res. Toxicol. 5:100–105|Agrochemicals/toxicity; Animals; Bass/physiology; Body Burden; California; Chromatography, Gas; Enzyme-Linked Immunosorbent Assay; Fish Diseases/chemically induced/physiopathology; Gas Chromatography-Mass Spectrometry; Herbicides/analysis; Liver/chemistry/metabolism; Water Pollutants, Chemical/toxicity|Immunoassay|http://ucanr.org/sites/hammocklab/files/126304.pdf
205|The effect of structurally divergent herbicides on mouse liver xenobiotic-metabolizing enzymes (P-450-dependent mono-oxygenases, epoxide hydrolases and glutathione S-transferases) and carnitine acetyltransferase|Moody, D. E.; Narloch, B. A.; Shull, L. R.; Hammock, B. D.|1991|Toxicol. Lett. (Toxicology letters)||Moody, Narloch. (1991). Toxicol. Lett. 59:175–185|Animals; Epoxide Hydrolases/metabolism; Glutathione Transferase/metabolism; Herbicides/toxicity; Injections, Intraperitoneal; Lethal Dose 50; Liver/drug effects/enzymology; Male; Mice; Organ Size/drug effects; Oxygenases/metabolism; Structure-Activity Relationship|Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125140.pdf
206|Determination of atrazine and simazine in water and soil using polyclonal and monoclonal antibodies in enzyme-linked immunosorbent assays|Lucas, A. D.; P. Schneider; R.O. Harrison; J.N. Seiber; B.D. Hammock; J.W. Biggar; D.E. Rolston|1991|Food Agric Immunol (Food and agricultural immunology)||Lucas, P. Schneider. (1991). Food Agric Immunol 3:155–167||Immunoassay|http://ucanr.org/sites/hammocklab/files/126305.pdf
207|"Influence of the ELISA format and the hapten-enzyme conjugate on the sensitivity of an immunoassay for s-triazine herbicides using monoclonal antibodies
"|Schneider, P.; B.D. Hammock|1992|J. Agric. Food Chem. (Journal of agricultural and food chemistry)||Schneider, B.D. Hammock. (1992). J. Agric. Food Chem. 40:525–530||Immunoassay|http://ucanr.org/sites/hammocklab/files/126306.pdf
208|Characterization of the cytosolic epoxide hydrolase-catalyzed hydration products from 9,10:12,13-diepoxy stearic esters|Nourooz-Zadeh, J.; Uematsu, T.; Borhan, B.; Kurth, M. J.; Hammock, B. D.|1992|Arch. Biochem. Biophys. (Archives of biochemistry and biophysics)||Nourooz-Zadeh, Uematsu. (1992). Arch. Biochem. Biophys. 294:675–685|Animals; Chromatography, Affinity; Chromatography, Gas; Chromatography, High Pressure Liquid; Cytosol/enzymology; Epoxide Hydrolases/isolation & purification/metabolism; Epoxy Compounds/chemical synthesis/metabolism; Esters; Gas Chromatography-Mass Spectrometry; Indicators and Reagents; Magnetic Resonance Spectroscopy; Mass Spectrometry; Mice; Stearic Acids/metabolism|Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125141.pdf
209|Formation of cyclic products from the diepoxide of long-chain fatty esters by cytosolic epoxide hydrolase|Halarnkar, P. P.; Nourooz-Zadeh, J.; Kuwano, E.; Jones, A. D.; Hammock, B. D.|1992|Arch. Biochem. Biophys. (Archives of biochemistry and biophysics)||Halarnkar, Nourooz-Zadeh. (1992). Arch. Biochem. Biophys. 294:586–593|Animals; Chromatography, Gas; Cytosol/enzymology; Epoxide Hydrolases/isolation & purification/metabolism; Epoxy Compounds/chemical synthesis/metabolism; Fatty Acids/chemical synthesis/metabolism; Fatty Alcohols/isolation & purification/metabolism; Female; Furans/isolation & purification/metabolism; Gas Chromatography-Mass Spectrometry; Kinetics; Liver/enzymology; Male; Mice|Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125142.pdf
210|Virus release evaluation|Hammock, B. D.|1992|Nature (Nature)||Hammock. (1992). Nature 355:119||Insect Biology|http://ucanr.org/sites/hammocklab/files/130889.pdf
211|"Effects of recombinant juvenile hormone esterase on Aedes aegypti
"|Harshman, L. G.; J.M. Vickers; R. Ichinose; D.F. Grant; V.K. Ward; B.F. Eldridge; B.D. Hammock|1991|Proc. Calif. Mosq. Vector Control Assoc.||Harshman, J.M. Vickers. (1991).  59:77–80||Insect Biology|http://ucanr.org/sites/hammocklab/files/130890.pdf
212|Insecticidal properties of genetically engineered baculoviruses expressing an insect juvenile hormone esterase gene|Eldridge, R.; O'Reilly, D. R.; Hammock, B. D.; Miller, L. K.|1992|Appl. Environ. Microbiol. (Applied and environmental microbiology)||Eldridge, O'Reilly. (1992). Appl. Environ. Microbiol. 58:1583–1591|Animals; Baculoviridae/enzymology/genetics; Blotting, Western; Carboxylic Ester Hydrolases/biosynthesis/genetics; Enzyme Activation; Gene Expression; Genetic Engineering; Genetic Vectors; Juvenile Hormones/genetics; Larva/microbiology; Moths/enzymology/genetics/microbiology; Pest Control, Biological/methods|Esterase and Amidase|http://ucanr.org/sites/hammocklab/files/125852.pdf
212|Insecticidal properties of genetically engineered baculoviruses expressing an insect juvenile hormone esterase gene|Eldridge, R.; O'Reilly, D. R.; Hammock, B. D.; Miller, L. K.|1992|Appl. Environ. Microbiol. (Applied and environmental microbiology)||Eldridge, O'Reilly. (1992). Appl. Environ. Microbiol. 58:1583–1591|Animals; Baculoviridae/enzymology/genetics; Blotting, Western; Carboxylic Ester Hydrolases/biosynthesis/genetics; Enzyme Activation; Gene Expression; Genetic Engineering; Genetic Vectors; Juvenile Hormones/genetics; Larva/microbiology; Moths/enzymology/genetics/microbiology; Pest Control, Biological/methods|Insect Biology|http://ucanr.org/sites/hammocklab/files/125852.pdf
213|Localization of juvenile hormone esterase during development in normal and in recombinant baculovirus-infected larvae of the moth Trichoplusia ni|Booth, T. F.; Bonning, B. C.; Hammock, B. D.|1992|Tissue Cell (Tissue & cell)||Booth, Bonning, Hammock. (1992). Tissue Cell 24:267–282|Animals; Baculoviridae/genetics; Carboxylic Ester Hydrolases/analysis/genetics; Endoplasmic Reticulum/chemistry; Epidermis/chemistry; Fat Body/chemistry; Hemocytes/chemistry; Insects/embryology; Recombination, Genetic|Insect Biology|http://ucanr.org/sites/hammocklab/files/130892.pdf
214|Transition state analog enzyme inhibitors: Structure-activity relationships of trifluoromethyl ketones|Székács, A.; B. Bordás; B.D. Hammock|1992||Rational Approaches to Structure, Activity, and Ecotoxicology of Agrochemicals|Székács & B. Bordás & B.D. Hammock. (1992). In: Rational Approaches to Structure, Activity, and Ecotoxicology of Agrochemicals (CRC Press, Boca Raton, Florida): 219–249||Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125144.pdf
214|Transition state analog enzyme inhibitors: Structure-activity relationships of trifluoromethyl ketones|Székács, A.; B. Bordás; B.D. Hammock|1992||Rational Approaches to Structure, Activity, and Ecotoxicology of Agrochemicals|Székács & B. Bordás & B.D. Hammock. (1992). In: Rational Approaches to Structure, Activity, and Ecotoxicology of Agrochemicals (CRC Press, Boca Raton, Florida): 219–249||Esterase and Amidase|http://ucanr.org/sites/hammocklab/files/125144.pdf
214|Transition state analog enzyme inhibitors: Structure-activity relationships of trifluoromethyl ketones|Székács, A.; B. Bordás; B.D. Hammock|1992||Rational Approaches to Structure, Activity, and Ecotoxicology of Agrochemicals|Székács & B. Bordás & B.D. Hammock. (1992). In: Rational Approaches to Structure, Activity, and Ecotoxicology of Agrochemicals (CRC Press, Boca Raton, Florida): 219–249||Insect Biology|http://ucanr.org/sites/hammocklab/files/125144.pdf
215|"Further development of a recombinant baculovirus insecticide expressing the enzyme juvenile hormone esterase from Heliothis virescens
"|Bonning, B. C.; Hirst, M.; Possee, R. D.; Hammock, B. D.|1992|Insect Biochem. Mol. Biol. (Insect biochemistry and molecular biology)||Bonning, Hirst. (1992). Insect Biochem. Mol. Biol. 22:453–458||Insect Biology|http://ucanr.org/sites/hammocklab/files/130894.pdf
216|Enzyme-linked immunosorbant assay (ELISA) of simazine for Delhi and Yolo soils in California|Goh, K. S.; Spurlock, F.; Lucas, A. D.; Kollman, W.; Schoenig, S.; Braun, A. L.; Stoddard, P.; Biggar, J. W.; Karu, A. E.; Hammock, B. D.|1992|Bull Environ Contam Toxicol (Bulletin of environmental contamination and toxicology)||Goh, Spurlock. (1992). Bull Environ Contam Toxicol 49:348–353|California; Chromatography, Gas; Enzyme-Linked Immunosorbent Assay/methods; Methanol; Pesticide Residues/analysis; Simazine/analysis; Soil Pollutants/analysis|Immunoassay|http://ucanr.org/sites/hammocklab/files/126307.pdf
217|Dissimilar expression of Autographa californica multiple nucleocapsid nuclear polyhedrosis virus polyhedrin and p10 genes|Roelvink, P. W.; van Meer, M. M.; Kort, C. A. de; Possee, R. D.; Hammock, B. D.; Vlak, J. M.|1992|J. Gen. Virol. (The Journal of general virology)||Roelvink, van Meer. (1992). J. Gen. Virol. 73 ( Pt 6):1481–1489|Animals; Baculoviridae/genetics; Blotting, Northern; Blotting, Western; Carboxylic Ester Hydrolases/genetics; Cell Line; Cloning, Molecular; Gene Expression; Genes, Viral; Kinetics; Moths; Promoter Regions, Genetic; Transcription, Genetic; Viral Proteins/genetics; Viral Structural Proteins|Insect Biology|http://ucanr.org/sites/hammocklab/files/130895.pdf
218|Synthesis of haptens and conjugates for an enzyme immunoassay for analysis of the herbicide Bromacil|Szurdoki, F., H.K.M. Bekheit, M.-P. Marco, M.H. Goodrow and B.D. Hammock|1992|J. Agric. Food Chem. (Journal of agricultural and food chemistry)||Szurdoki, F., H.K.M. Bekheit, M.-P. Marco, M.H. Goodrow and B.D. Hammock. (1992). J. Agric. Food Chem. 40:1459–1465||Immunoassay|http://ucanr.org/sites/hammocklab/files/126308.pdf
219|Serum epoxide hydrolase (preneoplastic antigen) in human and experimental liver injury|Moody, D. E.; Loury, D. N.; Hammock, B. D.; Ruebner, B. H.; Cullen, J. M.; Hillman, J. H.; Hillman, D. W.; Rao, M. S.; London, W. T.; Hann, H. W.|1992|Cancer Epidemiol. Biomarkers Prev. (Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology)||Moody, Loury. (1992). Cancer Epidemiol. Biomarkers Prev. 1:395–403|Animals; Antigens, Neoplasm/blood; California/epidemiology; Carcinoma, Hepatocellular/blood/epidemiology/etiology; Chromatography, Thin Layer; Disease Models, Animal; Enzyme-Linked Immunosorbent Assay; Epoxide Hydrolases/blood; Evaluation Studies as Topic; Hepatitis B/complications; Humans; Korea/epidemiology; Liver Neoplasms/blood/epidemiology/etiology; Liver Neoplasms, Experimental/blood; Male; Marmota; Rats; Rats, Sprague-Dawley; Tumor Markers, Biological/blood|Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125145.pdf
219|Serum epoxide hydrolase (preneoplastic antigen) in human and experimental liver injury|Moody, D. E.; Loury, D. N.; Hammock, B. D.; Ruebner, B. H.; Cullen, J. M.; Hillman, J. H.; Hillman, D. W.; Rao, M. S.; London, W. T.; Hann, H. W.|1992|Cancer Epidemiol. Biomarkers Prev. (Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology)||Moody, Loury. (1992). Cancer Epidemiol. Biomarkers Prev. 1:395–403|Animals; Antigens, Neoplasm/blood; California/epidemiology; Carcinoma, Hepatocellular/blood/epidemiology/etiology; Chromatography, Thin Layer; Disease Models, Animal; Enzyme-Linked Immunosorbent Assay; Epoxide Hydrolases/blood; Evaluation Studies as Topic; Hepatitis B/complications; Humans; Korea/epidemiology; Liver Neoplasms/blood/epidemiology/etiology; Liver Neoplasms, Experimental/blood; Male; Marmota; Rats; Rats, Sprague-Dawley; Tumor Markers, Biological/blood|Immunoassay|http://ucanr.org/sites/hammocklab/files/125145.pdf
220|"Genetic and molecular evidence for a trans-acting regulatory locus controlling glutathione S-transferase-2 expression in Aedes aegypti
"|Grant, D. F.; Hammock, B. D.|1992|Mol. Gen. Genet. (Molecular & general genetics : MGG)||Grant, Hammock. (1992). Mol. Gen. Genet. 234:169–176|Aedes/enzymology/genetics; Amino Acid Sequence; Animals; Base Sequence; Blotting, Northern; Cloning, Molecular; Gene Expression Regulation, Enzymologic/genetics; Genes, Regulator/genetics; Glutathione Transferase/genetics; Immunoblotting; Insecticide Resistance/genetics; Molecular Sequence Data; Mutation/genetics|Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125146.pdf
221|"Biochemical characterization of a variant form of cytosolic epoxide hydrolase induced by parental exposure to N-ethyl-N-nitrosourea
"|Nourooz-Zadeh, J.; Winder, B. S.; Dietze, E. C.; Giometti, C. S.; Tollaksen, S. L.; Hammock, B. D.|1992|Comp. Biochem. Physiol. C, Comp. Pharmacol. Toxicol. (Comparative biochemistry and physiology. C, Comparative pharmacology and toxicology)||Nourooz-Zadeh, Winder. (1992). Comp. Biochem. Physiol. C, Comp. Pharmacol. Toxicol. 103:207–214|Animals; Blotting, Western; Chromatography, Affinity; Clofibrate/pharmacology; Cytosol/enzymology; Electrophoresis, Polyacrylamide Gel; Enzyme Induction; Epoxide Hydrolases/chemistry/isolation & purification/metabolism; Ethylnitrosourea/toxicity; Female; Isoelectric Point; Mice; Mice, Inbred BALB C; Oxidoreductases/metabolism; Pregnancy|Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125147.pdf
